ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
10229838,HY417042,07/11/2015 11:00:00 AM,048XX W IRVING PARK RD,0620,BURGLARY,UNLAWFUL ENTRY,HOTEL/MOTEL,false,false,1634,016,45,15,05,1143312,1926152,2015,02/10/2018 03:50:01 PM,41.953401434,-87.748571238,"(41.953401434, -87.748571238)"
10229839,HY417026,08/08/2012 09:00:00 AM,027XX S KEELER AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,false,false,1031,010,22,30,11,1148832,1885361,2012,02/09/2018 03:44:29 PM,41.84136152,-87.72933472,"(41.84136152, -87.72933472)"
10229840,HY417096,07/26/2015 01:22:00 PM,041XX N MELVINA AVE,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,false,false,1624,016,38,15,26,1134278,1926963,2015,02/10/2018 03:50:01 PM,41.955791247,-87.781762353,"(41.955791247, -87.781762353)"
10229841,HY417136,09/09/2015 07:00:00 PM,036XX N RECREATION DR,0810,THEFT,OVER $500,SMALL RETAIL STORE,false,false,1925,019,46,6,06,1171969,1925027,2015,02/10/2018 03:50:01 PM,41.949729511,-87.643259182,"(41.949729511, -87.643259182)"
10229842,HY417222,09/09/2015 06:27:00 PM,001XX N LATROBE AVE,2024,NARCOTICS,POSS: HEROIN(WHITE),SIDEWALK,true,false,1523,015,28,25,18,1141356,1900593,2015,02/10/2018 03:50:01 PM,41.883301178,-87.756393849,"(41.883301178, -87.756393849)"
10229844,HY417132,09/09/2015 06:30:00 PM,063XX S ST LAWRENCE AVE,0470,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,STREET,false,false,0312,003,20,42,24,1181323,1863163,2015,02/10/2018 03:50:01 PM,41.779759541,-87.610789439,"(41.779759541, -87.610789439)"
10229845,HY417255,09/09/2015 08:03:00 PM,070XX S ELIZABETH ST,4625,OTHER OFFENSE,PAROLE VIOLATION,STREET,true,false,0734,007,17,67,26,1169204,1858196,2015,02/10/2018 03:50:01 PM,41.766400319,-87.655362713,"(41.766400319, -87.655362713)"
10229847,HY417241,09/09/2015 07:51:00 PM,012XX W TOUHY AVE,4625,OTHER OFFENSE,PAROLE VIOLATION,PARK PROPERTY,true,false,2423,024,49,1,26,1166517,1947985,2015,02/10/2018 03:50:01 PM,42.012845637,-87.662639146,"(42.012845637, -87.662639146)"
10229848,HY417257,09/09/2015 07:45:00 PM,032XX N MONTICELLO AVE,0520,ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,STREET,false,false,1732,017,35,21,04A,1151485,1921383,2015,02/10/2018 03:50:01 PM,41.940157979,-87.718652066,"(41.940157979, -87.718652066)"
10229851,HY417007,08/30/2015 01:00:00 PM,014XX N ASHLAND AVE,0917,MOTOR VEHICLE THEFT,"CYCLE, SCOOTER, BIKE W-VIN",RESIDENCE-GARAGE,false,false,1433,014,1,24,07,1165467,1909556,2015,02/10/2018 03:50:01 PM,41.907417375,-87.667601162,"(41.907417375, -87.667601162)"
10229852,HY417053,09/09/2015 05:51:00 PM,015XX S KEDZIE AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,ALLEY,true,false,1022,010,24,29,15,1155282,1892130,2015,02/10/2018 03:50:01 PM,41.859809525,-87.705483628,"(41.859809525, -87.705483628)"
10229853,HY417080,09/09/2015 05:55:00 PM,040XX W 16TH ST,031A,ROBBERY,ARMED: HANDGUN,SIDEWALK,false,true,1012,010,24,29,03,1149540,1891737,2015,02/10/2018 03:50:01 PM,41.858844375,-87.72657125,"(41.858844375, -87.72657125)"
10229854,HY417261,09/09/2015 04:30:00 PM,011XX W ERIE ST,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,false,false,1214,012,27,24,26,1168519,1904430,2015,02/10/2018 03:50:01 PM,41.893285756,-87.656538409,"(41.893285756, -87.656538409)"
10229855,HY416768,08/22/2015 07:00:00 AM,027XX N HALSTED ST,0890,THEFT,FROM BUILDING,RESIDENCE-GARAGE,false,false,1935,019,43,7,06,1170467,1918439,2015,02/10/2018 03:50:01 PM,41.931684824,-87.648973638,"(41.931684824, -87.648973638)"
10229857,HY417290,09/09/2015 08:00:00 PM,022XX S KEELER AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,1013,010,22,29,08B,1148743,1888803,2015,02/10/2018 03:50:01 PM,41.850808531,-87.729572523,"(41.850808531, -87.729572523)"
10229858,HY417071,09/08/2015 07:00:00 PM,014XX W GREENLEAF AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,STREET,false,false,2423,024,49,1,14,1165630,1947066,2015,02/10/2018 03:50:01 PM,42.01034291,-87.66592922,"(42.01034291, -87.66592922)"
10229859,HY417318,09/08/2015 04:01:00 PM,067XX S CRANDON AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,false,false,0331,003,5,43,26,1192479,1860820,2015,02/10/2018 03:50:01 PM,41.773065672,-87.569966992,"(41.773065672, -87.569966992)"
11860179,JC471924,10/13/2019 08:00:00 AM,006XX S SACRAMENTO BLVD,0820,THEFT,$500 AND UNDER,RESTAURANT,false,false,1135,011,28,27,06,1156465,1897134,2019,10/20/2019 04:03:03 PM,41.873517205,-87.701005851,"(41.873517205, -87.701005851)"
9617239,HX123401,01/22/2014 06:00:00 AM,033XX W FILLMORE ST,2093,NARCOTICS,FOUND SUSPECT NARCOTICS,POLICE FACILITY/VEH PARKING LOT,true,false,1134,011,24,29,18,,,2014,07/29/2017 03:52:50 PM,,,
10045782,HY234421,04/24/2015 02:43:00 PM,065XX S DAMEN AVE,4387,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,APARTMENT,false,true,0726,007,15,67,26,1164154,1861268,2015,02/10/2018 03:50:01 PM,41.774938043,-87.673786534,"(41.774938043, -87.673786534)"
10229860,HY417312,09/09/2015 08:45:00 PM,010XX W WILSON AVE,4650,OTHER OFFENSE,SEX OFFENDER: FAIL TO REGISTER,SIDEWALK,false,false,1914,019,46,3,26,1168259,1930712,2015,02/10/2018 03:50:01 PM,41.96541052,-87.656731596,"(41.96541052, -87.656731596)"
